episod,outcome,reward_total,time_s,kills,damage_taken,buff_count,boss_reached,boss_hp_min,level,hp_remaining,gems,camera_maxima,scene_path
1,fail,-760.4,260.4,6,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
2,fail,-534.3,34.3,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
3,fail,-534.3,34.3,8,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
4,fail,-534.3,34.3,1,7,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
5,fail,-505.0,5.0,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
6,fail,-508.3,8.3,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
7,fail,-506.9,6.9,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
8,fail,-695.9,195.9,6,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
9,fail,-1349.6,849.6,5,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
10,fail,-759.5,259.5,6,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
11,fail,-614.4,114.4,4,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
12,fail,-508.7,8.7,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
13,fail,-816.6,316.6,5,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
14,fail,-809.0,309.0,8,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
15,fail,-1070.0,570.0,6,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
16,fail,-1016.9,516.9,6,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
17,fail,-1103.4,603.4,6,7,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
18,fail,-3403.2,2903.2,6,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
19,fail,-510.5,10.5,5,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
20,fail,-512.0,12.0,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
21,fail,-740.1,240.1,7,8,0,0,-1,1,0,7,A1 Goblini,res://Levels/Area01/01.tscn
22,fail,-534.8,34.8,7,7,0,0,-1,2,0,3,A1 Goblini,res://Levels/Area01/01.tscn
