episod,outcome,reward_total,time_s,kills,damage_taken,buff_count,boss_reached,boss_hp_min,level,hp_remaining,gems,camera_maxima,scene_path
1,fail,-606.1,106.1,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
2,fail,-510.0,10.0,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
3,fail,-597.5,97.5,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
4,fail,-671.7,171.7,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
5,fail,-853.2,353.2,3,6,0,0,-1,1,0,9,A1 Goblini,res://Levels/Area01/01.tscn
6,fail,-1150.4,650.4,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
7,fail,-579.9,79.9,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
8,fail,-547.8,47.8,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
9,fail,-514.3,14.3,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
10,fail,-510.4,10.4,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
11,fail,-598.8,98.8,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
12,fail,-532.3,32.3,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
13,fail,-520.9,20.9,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
14,fail,-533.4,33.4,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
15,fail,-537.4,37.4,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
16,fail,-533.5,33.5,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
17,fail,-585.0,85.0,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
18,fail,-517.8,17.8,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
19,fail,-578.9,78.9,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
20,fail,-540.5,40.5,1,6,0,0,-1,1,0,4,A1 Goblini,res://Levels/Area01/01.tscn
