Metrica,uniform,realistic,claude_haiku,claude_opus,run5c,run5e,run5f
Episoade,39,30,21,1,170,644,805
Avg kills/ep,1.0256410256410255,0.2,0.0,0.0,0.8588235294117647,1.5590062111801242,1.387577639751553
Max kills,4,4,0,0,10,12,11
Avg reward/ep,-276.66475913770546,-273.5293531160549,-450.7127591322751,-599.930876000015,-491.98126126034725,-530.1590740236934,-518.2830236080576
Avg depth,1.5897435897435896,1.5333333333333334,1.8571428571428572,3.0,2.0,2.4472049689440993,2.7627329192546584
Max depth,2,2,2,3,4,4,4
Avg camere unice,1.5897435897435896,1.5333333333333334,1.8571428571428572,1.0,1.423529411764706,1.3819875776397517,1.3726708074534162
Avg timp (s),80.63433371700955,81.84609854322107,125.53534160836986,99.9308760000154,26.622002457732187,41.00148037917353,62.32988806611085
Avg dmg luat,6.564102564102564,6.0,10.285714285714286,12.0,5.670588235294118,10.209627329192546,11.845962732919254
% A2/01 reach,0.0,0.0,0.0,0.0,0.5882352941176471,0.7763975155279503,21.73913043478261
% trigger cross,0.0,0.0,0.0,0.0,0.5882352941176471,3.1055900621118013,3.229813664596273
% waypoint y=-350,0.0,0.0,0.0,0.0,0.5882352941176471,4.503105590062112,4.968944099378882
Buffs total,0,0,0,0,1,9,26
Outcome fail,19,14,18,1,159,635,764
Outcome trunc,0,0,3,0,8,7,41
Outcome win,0,0,0,0,0,0,0
